Depart;Arriver;Cost
12;63;0.935119048
12;64;0.93753718
12;65;0.935041716
12;66;0.935637664
12;67;0.938079569
12;68;0.937142857
12;69;0.966326846
12;70;0.950879321
12;71;0.95451789
12;72;0.953949375
12;73;0.947083584
12;74;0.948509485
12;75;0.951432881
12;76;0.962634579
12;77;0.949244713
12;78;0.947051745
12;79;0.947621915
12;80;0.952322738
12;81;0.947336744
12;82;0.94765343
12;83;0.93632287
12;84;0.950151976
12;85;0.954587016
12;86;0.955855303
12;87;0.954476016
12;88;0.954905545
12;89;0.955351682
12;90;0.955562366
12;91;0.957420925
12;92;0.953799392
12;93;0.957609027
12;94;0.952787085
12;95;0.957875458
12;96;0.950639854
12;97;0.948896281
12;98;0.92991351
12;99;0.929485272
12;100;0.921301775
12;101;0.927613941
12;102;0.940573152
12;103;0.920850561
12;104;0.926553672
12;105;0.924394566
12;106;0.92987168
12;107;0.928932501
12;108;0.938122548
12;109;0.924125667
12;110;0.928315412
12;111;0.935978359
12;112;0.929594272
12;113;0.94131955
12;114;0.948001202
12;115;0.973321067
12;116;0.955087076
12;117;0.946444781
12;118;0.960684845
12;119;0.948302233
